Rank,Journal Name,JIF 2024,JIF Quartile,Areas,Publisher,Country,JIF Rank,5-Year JIF,JCI,ISSN,eISSN,Abbreviated Journal,Total Cites,Total Articles,Citable Items,Cited Half-Life,Citing Half-Life,JIF Without Self-Cites,JCR Year
2352,ENDOCRINE-RELATED CANCER,4.6,Q1,"Biochemistry, Genetics and Molecular Biology; Medicine",BIOSCIENTIFICA LTD,United Kingdom,43/191,4.2,0.9,1351-0088,1479-6821,ENDOCR-RELAT CANCER,6764,49,62,8.7,7.4,4.3,2024
2352,INTERNATIONAL JOURNAL OF REFRACTORY METALS & HARD MATERIALS,4.6,Q1,Engineering; Materials Science,ELSEVIER,Netherlands,17/96,4.7,0.9,0263-4368,2213-3917,INT J REFRACT MET H,14199,402,403,5.9,7,3.9,2024
2352,ENVIRONMENTAL MODELLING & SOFTWARE,4.6,Q1,Computer Science; Environmental Science; Mathematics,ELSEVIER,United Kingdom,22/131,5.3,0.89,1364-8152,1873-6726,ENVIRON MODELL SOFTW,18364,259,264,8,7.2,4.0,2024
2352,PUBLICATIONS OF THE ASTRONOMICAL SOCIETY OF AUSTRALIA,4.6,Q1,Earth and Planetary Sciences; Physics and Astronomy,CAMBRIDGE UNIV PRESS,United Kingdom,21/84,6.0,0.89,1323-3580,1448-6083,PUBL ASTRON SOC AUST,4095,108,109,7.1,9.7,4.0,2024
2352,JCO Oncology Practice,4.6,Q1,Medicine; Nursing,LIPPINCOTT WILLIAMS & WILKINS,United States,81/326,4.3,0.87,2688-1527,2688-1535,JCO ONCOL PRACT,4261,162,187,2.8,6.1,4.3,2024
2352,MATERIALS SCIENCE IN SEMICONDUCTOR PROCESSING,4.6,Q2,Engineering; Materials Science; Physics and Astronomy,ELSEVIER,United Kingdom,95/366,4.2,0.87,1369-8001,1873-4081,MAT SCI SEMICON PROC,21632,951,997,3.8,5.9,4.3,2024
2352,Fungal Biology Reviews,4.6,Q1,Agricultural and Biological Sciences; Immunology and Microbiology,ELSEVIER,Netherlands,6/32,6.2,0.86,1749-4613,1878-0253,FUNGAL BIOL REV,1811,23,27,7.7,10.3,4.6,2024
2352,Journal of Power Sources Advances,4.6,Q2,Chemistry; Energy; Materials Science,ELSEVIER,Netherlands,14/44,5.4,0.84,,2666-2485,J POWER SOURCE ADV,423,27,27,3.4,6,4.5,2024
2352,JOURNAL OF FOOD COMPOSITION AND ANALYSIS,4.6,Q2,Agricultural and Biological Sciences,ELSEVIER,United States,47/181,4.6,0.83,0889-1575,1096-0481,J FOOD COMPOS ANAL,19451,1041,1067,3.8,5.7,4.2,2024
2352,Biotechnology for Biofuels and Bioproducts,4.6,Q1,"Biochemistry, Genetics and Molecular Biology; Energy; Environmental Science; Immunology and Microbiology",BMC,United Kingdom,34/177,4.6,0.81,,2731-3654,BIOTECHNOL BIOF BIOP,1778,137,149,1.9,8,4.5,2024
2352,Frontiers in Toxicology,4.6,Q1,"Pharmacology, Toxicology and Pharmaceutics",FRONTIERS MEDIA SA,Switzerland,15/106,4.9,0.81,,2673-3080,FRONT TOXICOL,1493,85,111,2.5,7.1,4.5,2024
2352,Journal of Industrial and Production Engineering,4.6,Q2,Engineering,TAYLOR & FRANCIS,United Kingdom,20/69,3.2,0.8,2168-1015,2168-1023,J IND PROD ENG,1463,48,48,5.7,4.9,4.2,2024
2352,SYNTHETIC METALS,4.6,Q2,Engineering; Materials Science; Physics and Astronomy,ELSEVIER,Netherlands,25/94,3.9,0.8,0379-6779,0379-6779,SYNTHETIC MET,12887,200,206,9.2,5.8,4.4,2024
2352,EXPERT OPINION ON THERAPEUTIC PATENTS,4.6,Q1,"Medicine; Pharmacology, Toxicology and Pharmaceutics",TAYLOR & FRANCIS,United Kingdom,57/352,5.3,0.79,1354-3776,1744-7674,EXPERT OPIN THER PAT,4316,3,79,6.9,4.9,4.4,2024
2352,Asia-Pacific Journal of Business Administration,4.6,Q2,"Business, Management and Accounting; Social Sciences",EMERALD GROUP PUBLISHING LTD,United Kingdom,89/316,4.5,0.77,1757-4323,1757-4331,ASIA-PAC J BUS ADM,1135,52,53,3.3,5.5,4.3,2024
2352,BMC Chemistry,4.6,Q2,Chemistry,BMC,United Kingdom,75/239,4.9,0.76,,2661-801X,BMC CHEM,3118,248,248,2.8,6.5,4.4,2024
2352,Smart and Sustainable Built Environment,4.6,Q1,Energy; Engineering; Environmental Science; Social Sciences,EMERALD GROUP PUBLISHING LTD,United Kingdom,17/95,4.8,0.75,2046-6099,2046-6102,SMART SUSTAIN BUILT,1823,108,118,3.4,4.8,3.6,2024
2352,PLOS Sustainability and Transformation,4.6,Q1,,PUBLIC LIBRARY SCIENCE,,43/191,4.6,0.74,,2767-3197,PLOS SUSTAIN TRANSF,323,31,34,2.1,7.2,4.5,2024
2352,Therapeutic Advances in Endocrinology and Metabolism,4.6,Q1,Medicine,SAGE PUBLICATIONS LTD,United States,43/191,4.8,0.74,2042-0188,2042-0196,THER ADV ENDOCRINOL,1764,21,35,4.6,6.4,4.6,2024
2352,CURRENT ALLERGY AND ASTHMA REPORTS,4.6,Q2,Immunology and Microbiology; Medicine,CURRENT MEDICINE GROUP,United States,10/39,5.1,0.73,1529-7322,1534-6315,CURR ALLERGY ASTHM R,3611,0,58,7.1,6.4,4.5,2024
2352,Human Resource Development Review,4.6,Q2,"Business, Management and Accounting",SAGE PUBLICATIONS INC,United Kingdom,110/420,8.2,0.73,1534-4843,1552-6712,HUM RESOUR DEV REV,2328,7,20,8.9,7.4,4.2,2024
2352,World Journal of Diabetes,4.6,Q1,,BAISHIDENG PUBLISHING GROUP INC,,43/191,5.0,0.73,,1948-9358,WORLD J DIABETES,5145,120,158,7.1,5.7,4.3,2024
2352,Materials Science and Engineering B-Advanced Functional Solid-State Materials,4.6,Q2,Engineering; Materials Science; Physics and Astronomy,ELSEVIER,United Kingdom,25/79,4.4,0.72,0921-5107,1873-4944,MATER SCI ENG B-ADV,20119,661,697,4,5.6,4.4,2024
2352,MOLECULES,4.6,Q2,"Biochemistry, Genetics and Molecular Biology; Chemistry; Medicine; Pharmacology, Toxicology and Pharmaceutics",MDPI,Switzerland,82/319,5.0,0.72,,1420-3049,MOLECULES,236779,5048,6014,3.9,6.7,4.5,2024
2352,POWDER TECHNOLOGY,4.6,Q2,Chemical Engineering,ELSEVIER,Netherlands,51/175,4.8,0.72,0032-5910,1873-328X,POWDER TECHNOL,53404,1052,1069,6.1,7.3,4.0,2024
2352,Society and Business Review,4.6,Q2,"Business, Management and Accounting",EMERALD GROUP PUBLISHING LTD,United Kingdom,89/316,3.4,0.7,1746-5680,1746-5699,SOC BUS REV,663,24,24,3.3,9.6,4.5,2024
2352,Recycling,4.6,Q3,Environmental Science; Materials Science,MDPI,Switzerland,53/102,4.9,0.68,,2313-4321,RECYCLING-BASEL,2301,113,129,3.3,5.8,4.5,2024
2352,RSC Advances,4.6,Q2,Chemical Engineering; Chemistry,ROYAL SOC CHEMISTRY,United Kingdom,75/239,4.3,0.67,,2046-2069,RSC ADV,208852,3043,3339,6.9,6.3,4.5,2024
2352,CURRENT OPINION IN LIPIDOLOGY,4.6,Q1,"Biochemistry, Genetics and Molecular Biology; Medicine; Nursing",LIPPINCOTT WILLIAMS & WILKINS,United States,16/98,4.1,0.61,0957-9672,1473-6535,CURR OPIN LIPIDOL,3867,0,42,10.7,5.5,4.5,2024
2352,Nanoscale Advances,4.6,Q2,Chemical Engineering; Chemistry; Engineering; Materials Science; Physics and Astronomy,ROYAL SOC CHEMISTRY,United Kingdom,75/239,5.1,0.61,2516-0230,2516-0230,NANOSCALE ADV,14885,444,506,3.5,6.3,4.6,2024
2352,PROCEEDINGS OF THE JAPAN ACADEMY SERIES B-PHYSICAL AND BIOLOGICAL SCIENCES,4.6,Q1,Agricultural and Biological Sciences; Medicine; Multidisciplinary; Physics and Astronomy,JAPAN ACAD,Japan,20/135,4.1,0.57,0386-2208,1349-2896,P JPN ACAD B-PHYS,2457,16,33,10.3,13.8,4.6,2024
2352,Tissue Engineering Part B-Reviews,4.6,Q2,"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Engineering; Materials Science","MARY ANN LIEBERT, INC",United States,37/124,6.9,0.53,1937-3368,1937-3376,TISSUE ENG PART B-RE,4714,1,53,8.1,6.1,4.6,2024
3287,CHEMICAL RESEARCH IN TOXICOLOGY,3.8,Q2,"Medicine; Pharmacology, Toxicology and Pharmaceutics",American Chemical Society,United States,28/106,4.0,0.85,0893-228X,1520-5010,CHEM RES TOXICOL,13775,160,176,10.1,8.6,3.5,2024
3287,ACS Chemical Biology,3.8,Q2,"Biochemistry, Genetics and Molecular Biology; Medicine",American Chemical Society,United States,120/319,4.1,0.83,1554-8929,1554-8937,ACS CHEM BIOL,16905,237,251,7.4,8.1,3.7,2024
3287,ACS Applied Optical Materials,3.8,Q2,Chemistry; Materials Science; Physics and Astronomy,American Chemical Society,United States,34/125,3.8,0.57,2771-9855,2771-9855,ACS APPL OPT MATER,932,213,255,1.5,6.4,3.6,2024
2352,Asia-Pacific Education Researcher,4.6,Q1,Social Sciences,SPRINGER,Singapore,37/756,4.6,2.26,0119-5646,2243-7908,ASIA-PAC EDUC RES,2726,156,156,4.3,7.1,4.3,2024
2352,JOURNAL OF NEUROLOGY,4.6,Q1,Medicine; Neuroscience,SPRINGER,Germany,40/285,5.0,1.32,0340-5354,1432-1459,J NEUROL,25122,393,469,6,7.1,4.4,2024
2352,ACTA MECHANICA SINICA,4.6,Q1,Engineering,SPRINGER,Germany,26/171,3.9,0.87,0567-7718,1614-3116,ACTA MECH SINICA-PRC,4694,165,167,4.3,7,4.0,2024
2352,Complex & Intelligent Systems,4.6,Q2,Computer Science; Engineering; Mathematics,SPRINGER,Switzerland,60/204,5.1,0.81,2199-4536,2198-6053,COMPLEX INTELL SYST,6617,297,297,3,4.8,4.4,2024
2352,MACROMOLECULAR MATERIALS AND ENGINEERING,4.6,Q2,Chemical Engineering; Chemistry; Materials Science,WILEY,Germany,25/94,4.2,0.72,1438-7492,1439-2054,MACROMOL MATER ENG,9516,152,174,4.9,6.2,4.5,2024
2352,GEOLOGY,4.6,Q1,Earth and Planetary Sciences,"GEOLOGICAL SOC AMER, INC",United States,1/61,5.2,2.63,0091-7613,1943-2682,GEOLOGY,40674,213,213,15.8,10.5,4.5,2024
3440,ACS Pharmacology & Translational Science,3.7,Q2,"Medicine; Pharmacology, Toxicology and Pharmaceutics",American Chemical Society,United States,99/352,4.4,1.25,,2575-9108,ACS PHARMACOL TRANSL,2964,243,301,3.2,7.5,3.6,2024
2464,JOURNAL OF RESEARCH IN SCIENCE TEACHING,4.5,Q1,Social Sciences,WILEY,United States,41/756,5.4,2.05,0022-4308,1098-2736,J RES SCI TEACH,7787,74,74,12.3,8.9,4.0,2024
2464,Journal of Family Theory & Review,4.5,Q1,Psychology; Social Sciences,WILEY,United Kingdom,2/66,5.2,1.99,1756-2570,1756-2589,J FAM THEOR REV,2257,38,39,6.5,9.5,3.8,2024
2464,PLANT CELL REPORTS,4.5,Q1,Agricultural and Biological Sciences; Medicine,SPRINGER,Germany,38/273,6.1,1.13,0721-7714,1432-203X,PLANT CELL REP,13218,261,294,8.8,8,4.3,2024
2464,JOURNAL OF THE AMERICAN GERIATRICS SOCIETY,4.5,Q1,Medicine,WILEY,United Kingdom,2/48,5.3,1.27,0002-8614,1532-5415,J AM GERIATR SOC,37068,374,398,12,6.5,4.0,2024
2464,ANNALS OF OPERATIONS RESEARCH,4.5,Q1,Decision Sciences,SPRINGER,Netherlands,23/106,4.6,0.9,0254-5330,1572-9338,ANN OPER RES,20568,626,626,4.2,7.1,4.0,2024
2464,Chinese Journal of Mechanical Engineering,4.5,Q1,Engineering,SPRINGER,China,34/182,4.7,0.86,1000-9345,2192-8258,CHIN J MECH ENG-EN,5351,155,170,4.9,5.9,4.3,2024
2464,Asia Pacific Journal of Human Resources,4.5,Q1,"Business, Management and Accounting",WILEY,United States,4/52,4.2,1.26,1038-4111,1744-7941,ASIA PAC J HUM RESOU,1472,20,21,5.6,7.5,4.3,2024
2464,PEDIATRIC ALLERGY AND IMMUNOLOGY,4.5,Q1,Immunology and Microbiology; Medicine,WILEY,United Kingdom,9/191,4.5,1.2,0905-6157,1399-3038,PEDIAT ALLERG IMM-UK,6042,99,136,6,6.6,4.1,2024
2464,JOURNAL OF MATERIALS SCIENCE-MATERIALS IN MEDICINE,4.5,Q2,"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Engineering; Materials Science",SPRINGER,United States,38/124,4.5,0.72,0957-4530,1573-4838,J MATER SCI-MATER M,10792,71,72,11.5,7.5,4.4,2024
2464,Frontiers of Chemical Science and Engineering,4.5,Q2,Chemical Engineering,SPRINGER,China,52/175,4.2,0.62,2095-0179,2095-0187,FRONT CHEM SCI ENG,3654,121,137,4.2,5,4.3,2024
2464,Discover Nano,4.5,Q2,Materials Science; Physics and Astronomy,SPRINGER,Germany,53/187,4.5,0.57,,2731-9229,DISCOV NANO,971,153,214,1.3,5.9,4.4,2024
2464,BIPOLAR DISORDERS,4.5,Q1,Medicine; Neuroscience,WILEY,Denmark,42/288,4.9,1.04,1398-5647,1399-5618,BIPOLAR DISORD,4746,49,62,9.2,8.3,4.1,2024
2464,Molecular Oncology,4.5,Q2,"Biochemistry, Genetics and Molecular Biology; Medicine",WILEY,Netherlands,84/326,5.7,1.04,1574-7891,1878-0261,MOL ONCOL,10219,150,182,5,7.2,4.4,2024
2464,Food and Energy Security,4.5,Q1,Agricultural and Biological Sciences; Energy,WILEY,United Kingdom,38/273,5.4,0.95,2048-3694,2048-3694,FOOD ENERGY SECUR,2693,60,78,4.5,6.6,4.4,2024
2464,mLife,4.5,Q1,Immunology and Microbiology,WILEY,China,38/163,4.5,0.83,2097-1699,2770-100X,MLIFE,355,26,39,2.1,7.3,4.2,2024
2464,International Journal of Biomaterials,4.5,Q2,Engineering; Materials Science,WILEY,United States,24/55,4.5,0.51,1687-8787,1687-8795,INT J BIOMATER,1409,27,28,5.8,6.5,4.5,2024
2464,INTERNATIONAL ORGANIZATION,4.5,Q1,"Business, Management and Accounting; Social Sciences",CAMBRIDGE UNIV PRESS,United Kingdom,5/169,8.7,3.73,0020-8183,1531-5088,INT ORGAN,9351,27,28,19.5,9.6,4.3,2024
2464,JOURNAL OF SECOND LANGUAGE WRITING,4.5,Q1,Social Sciences,ELSEVIER,United Kingdom,12/303,6.3,2.58,1060-3743,1873-1422,J SECOND LANG WRIT,3372,28,29,9.6,9,4.3,2024
2464,JOURNAL OF EUROPEAN PUBLIC POLICY,4.5,Q1,Social Sciences,TAYLOR & FRANCIS,United Kingdom,18/322,5.1,2.2,1350-1763,1466-4429,J EUR PUBLIC POLICY,7667,127,127,6.5,6.5,3.9,2024
2464,Thinking Skills and Creativity,4.5,Q1,Social Sciences,ELSEVIER,Netherlands,41/756,4.9,2.18,1871-1871,1878-0423,THINK SKILLS CREAT,5326,239,248,4.3,9.2,3.7,2024
2464,Perspectives on Politics,4.5,Q1,Social Sciences,CAMBRIDGE UNIV PRESS,United Kingdom,18/322,5.1,2.06,1537-5927,1541-0986,PERSPECT POLIT,4533,69,72,8.7,8.9,4.4,2024
2464,AMERICAN JOURNAL OF SPORTS MEDICINE,4.5,Q1,Health Professions; Medicine,SAGE PUBLICATIONS INC,United States,10/139,5.5,1.86,0363-5465,1552-3365,AM J SPORT MED,40339,348,364,9.8,7.9,4.0,2024
2464,Journal of Adolescent Health,4.5,Q1,Medicine,ELSEVIER,United States,9/191,5.9,1.86,1054-139X,1879-1972,J ADOLESCENT HEALTH,20291,261,273,7.9,6.4,4.1,2024
2464,HARMFUL ALGAE,4.5,Q1,Agricultural and Biological Sciences,ELSEVIER,Netherlands,5/119,5.9,1.81,1568-9883,1878-1470,HARMFUL ALGAE,9229,131,134,7.9,10.7,3.9,2024
2464,Globalization and Health,4.5,Q1,Medicine,BMC,United Kingdom,38/419,6.1,1.65,,1744-8603,GLOBALIZATION HEALTH,5361,59,77,4.8,5,4.3,2024
2464,Pediatric Critical Care Medicine,4.5,Q1,Medicine,LIPPINCOTT WILLIAMS & WILKINS,United States,9/191,3.7,1.63,1529-7535,1947-3893,PEDIATR CRIT CARE ME,8808,130,132,7,5.3,2.7,2024
2464,BEHAVIOUR RESEARCH AND THERAPY,4.5,Q1,Medicine; Psychology,ELSEVIER,United Kingdom,13/185,5.0,1.62,0005-7967,1873-622X,BEHAV RES THER,20346,120,122,16,9,4.3,2024
2464,World Journal of Pediatrics,4.5,Q1,Medicine,ZHEJIANG UNIV PRESS,China,9/191,4.6,1.56,1708-8569,1867-0687,WORLD J PEDIATR,3054,33,60,4.5,5.6,4.3,2024
2464,Agricultural and Food Economics,4.5,Q1,"Agricultural and Biological Sciences; Economics, Econometrics and Finance",NATURE PORTFOLIO,Germany,4/43,4.7,1.54,,2193-7532,AGR FOOD ECON,1132,41,48,4.1,6,4.3,2024
2464,European Stroke Journal,4.5,Q1,Medicine,SAGE PUBLICATIONS LTD,United Kingdom,42/285,5.9,1.53,2396-9873,2396-9881,EUR STROKE J,2649,133,142,3.5,6.7,4.2,2024
2464,JOURNAL OF ANXIETY DISORDERS,4.5,Q1,Medicine; Psychology,ELSEVIER,United Kingdom,13/185,6.4,1.48,0887-6185,1873-7897,J ANXIETY DISORD,10037,66,75,10.1,9.4,4.2,2024
2464,AMERICAN JOURNAL OF PREVENTIVE MEDICINE,4.5,Q1,Medicine,ELSEVIER,United States,38/419,4.9,1.41,0749-3797,1873-2607,AM J PREV MED,25385,219,232,9.8,6.3,4.4,2024
2464,NEUROIMAGE,4.5,Q1,Neuroscience,ELSEVIER,United States,1/16,5.9,1.41,1053-8119,1095-9572,NEUROIMAGE,106317,437,447,10.9,9.1,4.3,2024
2464,BJS Open,4.5,Q1,Medicine,OXFORD UNIV PRESS,United States,19/312,4.3,1.38,2474-9842,2474-9842,BJS OPEN,3112,122,144,3.5,7.3,4.3,2024
2464,Journal of Commodity Markets,4.5,Q1,"Economics, Econometrics and Finance",ELSEVIER,Netherlands,63/617,4.0,1.36,2405-8513,2405-8505,J COMMOD MARK,943,45,45,2.7,6.7,4.1,2024
2464,BMC BIOLOGY,4.5,Q1,"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology",BMC,United Kingdom,15/107,5.4,1.35,,1741-7007,BMC BIOL,11868,285,293,5.7,8.8,4.4,2024
2464,PHYSICS LETTERS B,4.5,Q1,Physics and Astronomy,ELSEVIER,Netherlands,3/22,4.2,1.35,0370-2693,1873-2445,PHYS LETT B,73093,626,626,16.5,10,4.2,2024
2464,PROCEEDINGS OF THE NUTRITION SOCIETY,4.5,Q1,Medicine; Nursing,CAMBRIDGE UNIV PRESS,United Kingdom,23/112,8.3,1.35,0029-6651,1475-2719,P NUTR SOC,7820,5,49,9.7,6.5,4.4,2024
2464,Asia-Pacific Journal of Ophthalmology,4.5,Q1,Medicine,ELSEVIER,Netherlands,11/98,4.4,1.32,,2162-0989,ASIA-PAC J OPHTHALMO,2277,55,59,4.9,5.4,3.7,2024
2464,European Urology Open Science,4.5,Q1,Medicine,ELSEVIER,Netherlands,16/133,4.0,1.3,2666-1691,2666-1683,EUR UROL OPEN SCI,1943,130,143,2.3,5.6,4.3,2024
2464,One Health,4.5,Q1,Medicine,ELSEVIER,Netherlands,38/419,4.7,1.29,,2352-7714,ONE HEALTH-AMSTERDAM,3081,187,200,3.1,6.5,4.2,2024
2464,Brain Communications,4.5,Q1,Medicine; Neuroscience,OXFORD UNIV PRESS,United States,42/285,4.7,1.25,,2632-1297,BRAIN COMMUN,5797,351,376,2.9,8.4,4.3,2024
2464,IEEE TRANSACTIONS ON INDUSTRY APPLICATIONS,4.5,Q1,Engineering,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,United States,27/175,4.7,1.21,0093-9994,1939-9367,IEEE T IND APPL,34625,790,792,6.1,5.6,4.1,2024
2464,Current Plant Biology,4.5,Q1,"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology",ELSEVIER,Netherlands,38/273,5.4,1.2,,2214-6628,CURR PLANT BIOL,1254,106,106,3.7,7.4,4.2,2024
2464,NDT & E INTERNATIONAL,4.5,Q1,Engineering; Materials Science; Physics and Astronomy,ELSEVIER,United Kingdom,5/37,4.8,1.2,0963-8695,1879-1174,NDT&E INT,8967,212,213,7.7,7.2,4.0,2024
2464,JOURNAL OF INFECTIOUS DISEASES,4.5,Q1,Medicine,OXFORD UNIV PRESS INC,United Kingdom,19/137,4.5,1.19,0022-1899,1537-6613,J INFECT DIS,43155,575,608,10.3,6.2,4.4,2024
2464,BIOELECTROCHEMISTRY,4.5,Q1,"Biochemistry, Genetics and Molecular Biology; Chemistry; Medicine",ELSEVIER,Netherlands,11/79,4.4,1.14,1567-5394,1878-562X,BIOELECTROCHEMISTRY,7630,181,186,4.7,5.6,4.3,2024
2464,JOURNAL OF CEREBRAL BLOOD FLOW AND METABOLISM,4.5,Q1,Medicine; Neuroscience,SAGE PUBLICATIONS INC,United States,18/98,6.3,1.11,0271-678X,1559-7016,J CEREBR BLOOD F MET,20768,149,175,9.1,8.8,4.2,2024
2464,GENE THERAPY,4.5,Q1,"Biochemistry, Genetics and Molecular Biology",NATURE PORTFOLIO,United Kingdom,31/191,4.8,1.1,0969-7128,1476-5462,GENE THER,6730,48,56,13.1,7.5,4.4,2024
2464,International Braz J Urol,4.5,Q1,Medicine,BRAZILIAN SOC UROL,Brazil,16/133,2.9,1.09,1677-5538,1677-6119,INT BRAZ J UROL,2726,39,59,6,5.9,3.3,2024
2464,Journal of Eating Disorders,4.5,Q1,Medicine; Neuroscience; Nursing,BMC,United Kingdom,13/185,4.5,1.08,2050-2974,2050-2974,J EAT DISORD,4192,170,197,3.3,7,3.7,2024
2464,Algal Research-Biomass Biofuels and Bioproducts,4.5,Q1,Agricultural and Biological Sciences,ELSEVIER,Netherlands,36/177,5.1,1.07,2211-9264,2211-9264,ALGAL RES,16218,469,493,4.8,6.8,4.2,2024
2464,COASTAL ENGINEERING,4.5,Q1,Engineering; Environmental Science,ELSEVIER,Netherlands,34/183,5.0,1.07,0378-3839,1872-7379,COAST ENG,11626,171,171,10,9.7,3.9,2024
2464,IEEE ELECTRON DEVICE LETTERS,4.5,Q2,Engineering; Materials Science,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,United States,98/366,4.6,1.07,0741-3106,1558-0563,IEEE ELECTR DEVICE L,23123,602,602,6.2,5.2,4.0,2024
2464,Array,4.5,Q1,Computer Science,ELSEVIER,Netherlands,25/147,5.1,1.06,2590-0056,2590-0056,ARRAY-NY,1199,36,40,2.7,4.7,4.4,2024
2464,International Journal of Disaster Risk Reduction,4.5,Q1,Earth and Planetary Sciences; Social Sciences,ELSEVIER,United Kingdom,38/258,5.1,1.06,2212-4209,2212-4209,INT J DISAST RISK RE,20566,824,858,3.9,6.6,3.8,2024
2464,Journal of Management Analytics,4.5,Q1,"Business, Management and Accounting; Decision Sciences; Mathematics",TAYLOR & FRANCIS,United Kingdom,7/68,5.8,1.05,2327-0012,2327-0039,J MANAG ANAL,949,25,26,4.3,7.1,4.2,2024
2464,IEEE TRANSACTIONS ON MICROWAVE THEORY AND TECHNIQUES,4.5,Q2,Engineering; Physics and Astronomy,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,United States,98/366,5.0,1.03,0018-9480,1557-9670,IEEE T MICROW THEORY,35202,592,592,7.9,6.2,3.5,2024
2464,Extreme Mechanics Letters,4.5,Q1,Chemical Engineering; Engineering,ELSEVIER,United Kingdom,27/171,5.1,1.01,2352-4316,2352-4316,EXTREME MECH LETT,6672,149,149,4.5,6.9,4.3,2024
2464,Frontiers in Aging Neuroscience,4.5,Q1,"Biochemistry, Genetics and Molecular Biology; Neuroscience",FRONTIERS MEDIA SA,Switzerland,13/73,4.9,1,1663-4365,1663-4365,FRONT AGING NEUROSCI,29142,470,572,3.8,7.1,4.4,2024
2464,IEEE SENSORS JOURNAL,4.5,Q1,Engineering; Physics and Astronomy,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,United States,16/79,4.7,1,1530-437X,1558-1748,IEEE SENS J,73147,3918,3965,3.6,5.1,3.6,2024
2464,IEEE TRANSACTIONS ON BIOMEDICAL ENGINEERING,4.5,Q2,Engineering,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,United States,38/124,4.7,1,0018-9294,1558-2531,IEEE T BIO-MED ENG,27615,331,331,9.9,8,4.4,2024
2464,Cell Reports Methods,4.5,Q1,"Biochemistry, Genetics and Molecular Biology; Computer Science; Medicine",CELL PRESS,United States,12/86,4.8,0.98,2667-2375,2667-2375,CELL REP METHODS,2021,137,144,2,7,4.4,2024
2464,Frontiers in Microbiology,4.5,Q1,Immunology and Microbiology; Medicine,FRONTIERS MEDIA SA,Switzerland,38/163,5.2,0.98,,1664-302X,FRONT MICROBIOL,166163,2666,2996,4.8,6.8,4.3,2024
2464,POLYMER,4.5,Q2,Chemistry; Materials Science,ELSEVIER,Netherlands,27/94,4.3,0.95,0032-3861,1873-2291,POLYMER,61133,1084,1091,10.1,6.4,4.1,2024
2464,Asian Journal of Psychiatry,4.5,Q1,Medicine; Psychology,ELSEVIER,Netherlands,42/288,4.6,0.93,1876-2018,1876-2026,ASIAN J PSYCHIATR,6787,188,217,4.3,6.7,3.6,2024
2464,JOURNAL OF BIOMEDICAL INFORMATICS,4.5,Q2,Computer Science; Medicine,ELSEVIER,United States,14/48,7.7,0.93,1532-0464,1532-0480,J BIOMED INFORM,18947,141,146,7.4,5.2,4.1,2024
2464,JOURNAL OF MOLECULAR BIOLOGY,4.5,Q2,"Biochemistry, Genetics and Molecular Biology",ELSEVIER,United States,85/319,4.9,0.93,0022-2836,1089-8638,J MOL BIOL,54477,281,312,18.9,10,4.4,2024
2464,CLINICS IN CHEST MEDICINE,4.5,Q1,Medicine,ELSEVIER,United States,18/108,5.6,0.92,0272-5231,1557-8216,CLIN CHEST MED,4171,65,67,7.8,7.6,4.4,2024
2464,Artificial Cells Nanomedicine and Biotechnology,4.5,Q1,"Biochemistry, Genetics and Molecular Biology; Engineering; Medicine; Pharmacology, Toxicology and Pharmaceutics",TAYLOR & FRANCIS,United States,36/177,4.5,0.91,2169-1401,2169-141X,ARTIF CELL NANOMED B,8382,36,45,6.3,6.1,4.4,2024
2464,Climate Services,4.5,Q1,Earth and Planetary Sciences; Environmental Science,ELSEVIER,Netherlands,25/111,4.6,0.91,2405-8807,2405-8807,CLIM SERV,1691,80,85,3.3,6.2,3.9,2024
2464,Proceedings of the ACM on Interactive Mobile Wearable and Ubiquitous Technologies-IMWUT,4.5,Q1,Computer Science,ASSOC COMPUTING MACHINERY,United States,62/258,,0.89,,2474-9567,PROC ACM INTERACT MO,7206,208,208,4.2,5.5,3.6,2024
2464,Project Leadership and Society,4.5,Q1,Social Sciences,ELSEVIER,United Kingdom,32/241,5.1,0.89,,2666-7215,PROJ LEADERSH SOC,509,47,53,2.7,7.3,3.8,2024
2464,Brain Informatics,4.5,Q1,Computer Science; Neuroscience,NATURE PORTFOLIO,Germany,62/314,,0.88,2198-4018,2198-4026,BRAIN INFORM,903,29,32,4.2,5.3,4.4,2024
2464,GENES AND IMMUNITY,4.5,Q1,"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Medicine",NATURE PORTFOLIO,United Kingdom,31/191,4.2,0.85,1466-4879,1476-5470,GENES IMMUN,2630,50,57,11.6,5.9,4.4,2024
2464,Elementa-Science of the Anthropocene,4.5,Q1,Earth and Planetary Sciences; Environmental Science,UNIV CALIFORNIA PRESS,United States,25/111,4.5,0.84,2325-1026,2325-1026,ELEMENTA-SCI ANTHROP,3424,97,103,4.8,8.2,3.9,2024
